id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
63;PT Konverta Mitra Abadi;KMA85;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
64;PT Lami Packaging Indonesia;LPI29;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
65;PT Lao Chow Indonesia;LCI23;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
66;PT LG Electronics Indonesia;LEI74;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
67;PT Maruhachi Indonesia;MI36;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
68;PT Metalart Astra Indonesia;MAI19;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
69;PT Mulia Glass;MG66;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
70;PT Musashi Auto Parts Indonesia;MAPI75;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
71;PT Nusantara Ekspres Kilat;NEK42;TATA;1;17/02/2026 18:08;17/02/2026 18:08
72;PT Nusantara Parkerizing;NP49;TATA;1;17/02/2026 18:08;17/02/2026 18:08
73;PT Oji Sinarmas Packaging;OSP86;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
74;PT Otsuka Indonesia;OI91;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
75;PT Panasonic Gobel Energy Indonesia;PGEI78;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
76;PT Papandayan Cocoa Industries;PCI48;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
77;PT Papertech Indonesia;PI86;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
78;PT Perfetti Van Melle Indonesia;PVMI18;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
79;PT Prokemas Adhikari Kreasi;PAK02;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
80;PT Prysmian Cables Indonesia;PCI95;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
81;PT Purinusa Ekapersada;PE24;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
82;PT Samsung SDS Global SCL Indonesia;SSGSI59;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
83;PT Sanko Gosei Technology;SGT69;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
84;PT Semen Indonesia (Persero) Tbk;SI(T59;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
85;PT Sika Indonesia;SI24;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
86;PT SKK Kaken Indonesia;SKI78;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
87;PT South Pacific Viscose;SPV45;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
88;PT Sugity Creatives;SC58;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
89;PT Summit Adyawinsa Indonesia;SAI91;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
90;PT Superior Porcelain Sukses;SPS46;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
91;PT Supernova Flexible Packaging;SFP62;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
92;PT Surya Rengo Containers;SRC52;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
