"id";"role_id";"permission_id";"granted";"assigned_by";"assigned_at"
"116";"2";"1";"1";NULL;"2025-12-12 17:18:42"
"117";"2";"2";"1";NULL;"2025-12-12 17:18:42"
"118";"2";"3";"1";NULL;"2025-12-12 17:18:42"
"119";"2";"4";"1";NULL;"2025-12-12 17:18:42"
"120";"2";"5";"1";NULL;"2025-12-12 17:18:42"
"121";"2";"6";"1";NULL;"2025-12-12 17:18:42"
"122";"2";"7";"1";NULL;"2025-12-12 17:18:42"
"123";"2";"8";"1";NULL;"2025-12-12 17:18:42"
"124";"2";"9";"1";NULL;"2025-12-12 17:18:42"
"125";"2";"10";"1";NULL;"2025-12-12 17:18:42"
"126";"2";"11";"1";NULL;"2025-12-12 17:18:42"
"127";"2";"12";"1";NULL;"2025-12-12 17:18:42"
"128";"2";"13";"1";NULL;"2025-12-12 17:18:42"
"129";"2";"14";"1";NULL;"2025-12-12 17:18:42"
"130";"2";"15";"1";NULL;"2025-12-12 17:18:42"
"131";"2";"16";"1";NULL;"2025-12-12 17:18:42"
"132";"2";"17";"1";NULL;"2025-12-12 17:18:42"
"133";"2";"18";"1";NULL;"2025-12-12 17:18:42"
"134";"2";"19";"1";NULL;"2025-12-12 17:18:42"
"135";"2";"20";"1";NULL;"2025-12-12 17:18:42"
"136";"2";"21";"1";NULL;"2025-12-12 17:18:42"
"137";"2";"22";"1";NULL;"2025-12-12 17:18:42"
"138";"2";"23";"1";NULL;"2025-12-12 17:18:42"
"139";"2";"24";"1";NULL;"2025-12-12 17:18:42"
"140";"2";"25";"1";NULL;"2025-12-12 17:18:42"
"141";"2";"26";"1";NULL;"2025-12-12 17:18:42"
"142";"2";"27";"1";NULL;"2025-12-12 17:18:42"
"143";"2";"28";"1";NULL;"2025-12-12 17:18:42"
"144";"2";"107";"1";NULL;"2025-12-12 17:18:42"
"145";"2";"108";"1";NULL;"2025-12-12 17:18:42"
"146";"2";"109";"1";NULL;"2025-12-12 17:18:42"
"147";"2";"110";"1";NULL;"2025-12-12 17:18:42"
"148";"3";"1";"1";NULL;"2025-12-12 17:18:42"
"149";"3";"2";"1";NULL;"2025-12-12 17:18:42"
"150";"3";"3";"1";NULL;"2025-12-12 17:18:42"
"151";"3";"4";"1";NULL;"2025-12-12 17:18:42"
"152";"3";"7";"1";NULL;"2025-12-12 17:18:42"
