id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;attachment;ATT0347;;7263;29;0010;;;;;Baik;Lengkap;;PAPANDAYAN;IN_USE;20/12/2023;;;
;attachment;ATT0348;;7698;9;25-02-'01746;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0349;;5686;29;0011;;;;;Baik;Lengkap;;SNF POLYMERS INDONESIA;IN_USE;20/12/2023;;;
;attachment;ATT0350;;7485;2;ID-25C-351;;;;;Baik;Lengkap;;IKT TANGGERANG;IN_USE;15/3/2025;;;
;attachment;ATT0351;;7228;29;0014;;;;;Baik;Lengkap;;PLAN YOUNEXA;IN_USE;20/12/2023;;;
;attachment;ATT0352;;7117;35;ID-25C-334;;;;;Baik;Lengkap;;TRANSKARYA;IN_USE;15/3/2025;;;
;attachment;ATT0353;;7749;25;2431459 L/R;;;;;Baik;Lengkap;;PT ASTRO TECHNOLOGIES;IN_USE;03/07/2024;;;
;attachment;ATT0354;;7723;2;ID-25C-350;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0355;;7722;2;ID-25C-349;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0356;;7727;2;ID-25C-347;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0357;;7729;2;ID-25C-346;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0358;;7728;2;ID-25C-344;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0359;;;56;25-03-'03756;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;21/04/2025;;;
;attachment;ATT0360;;7748;25;2431445 L/R;;;;;Baik;Lengkap;;PT ASTRO TECHNOLOGIES;IN_USE;03/07/2024;;;
;attachment;ATT0361;;7564;51;-;;;;;Baik;Lengkap;;KCC GLASS;IN_USE;11/07/2025;;;
;attachment;ATT0362;;7566;51;-;;;;;Baik;Lengkap;;KCC GLASS;IN_USE;11/07/2025;;;
;attachment;ATT0363;;5849;19;24-02-2334;;;;;Baik;Lengkap;;PT. STARINDO MULTI INDUSTRI;IN_USE;06/04/2024;;;
;attachment;ATT0364;;;11;24-08-13945;;;;;Baik;Lengkap;;OKI PALEMBANG ( TANPA UNIT);IN_USE;11/09/2024;;;
;attachment;ATT0365;;7756;3;BWMA7701;;;;;Baik;Lengkap;;PT. SINOTRANS;IN_USE;05/03/2025;;;
;attachment;ATT0366;;7114;2;ID-25C-352;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;15/3/2025;;;
;attachment;ATT0367;;7758;8;25-03-'03190;;;;;Baik;Lengkap;;WEATHERFORD;IN_USE;21/04/2025;;;
;attachment;ATT0368;;7762;26;0995;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0369;;7763;26;0994;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0370;;7762;56;25-03-'03757;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0371;;7763;56;25-03-'03318;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0372;;7760;35;ID-25C-338;;;;;Baik;Lengkap;;PT.OKI PALEMBANG;IN_USE;15/3/2025;;;
;attachment;ATT0373;;6570;25;2431431 L/R;;;;;Baik;Lengkap;;PT ASTRO TECHNOLOGIES;IN_USE;03/07/2024;;;
;attachment;ATT0374;;7759;50;88000249231;;;;;Baik;Lengkap;;WEATHERFOARD;IN_USE;22/05/2025;;;
;attachment;ATT0375;;7776;56;25-03-'03320;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0376;;;29;0023;;;;;Baik;Lengkap;;-;AVAILABLE;20/12/2023;;;
;attachment;ATT0377;;7777;9;25-02-'01745;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;21/04/2025;;;
;attachment;ATT0378;;7762;0;-;;;;;Baik;Lengkap;;OKI PALEMBANG;IN_USE;11/07/2025;;;
;attachment;ATT0379;;5946;25;2144784 L/R;;;;;Baik;Lengkap;;KALDU SARI NABATI;IN_USE;07/09/2022;;;
