id_inventory_unit;no_unit;no_unit_na;serial_number;id_po;tahun_unit;status_unit_id;lokasi_unit;departemen_id;tanggal_kirim;keterangan;harga_sewa_bulanan;rate_changed_at;harga_sewa_harian;kontrak_id;on_hire_date;off_hire_date;customer_id;customer_location_id;area_id;tipe_unit_id;model_unit_id;kapasitas_unit_id;model_mast_id;tinggi_mast;sn_mast;model_mesin_id;sn_mesin;roda_id;ban_id;valve_id;created_at;updated_at;aksesoris;spk_id;delivery_instruction_id;di_workflow_id;workflow_status;hour_meter;contract_disconnect_date;contract_disconnect_stage;is_temporary_assignment;maintenance_location;temporary_for_contract_id;expected_return_date;asset_tag;acquisition_cost;depreciation_method;useful_life_years;salvage_value;fuel_type;ownership_status;warehouse_location_id
2748;2848;NULL;82396;NULL;2021;7;KONTRAK KIRANA PERMATA (15-12-2025);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp16,000,000;18/02/2026 21:16;NULL;#N/A;15/12/2025;NULL;#N/A;#N/A;#N/A;6;4;24;1;NULL;NULL;18;1DZ-0391364;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:24;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2749;2849;NULL;82397;NULL;2021;12;5-02-2025 SRI TRANG LINGGA;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;4;24;1;NULL;NULL;18;1DZ-0391367;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2750;2850;NULL;82408;NULL;2021;7;SRI TRANG LINGGA;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;4;24;1;NULL;NULL;18;1DZ-0391433;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2751;2851;NULL;82444;NULL;2021;11;06-02-2026 AMBIL UNIT FR SRI TRANG PALEMBANG;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;4;24;1;NULL;NULL;18;1DZ-0391555;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2752;2852;NULL;CT18C-87659;NULL;2021;11;POS 5 (12-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;15;22;NULL;NULL;NULL;4;S4S-354564;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2753;2853;NULL;CT18C-87660;NULL;2021;13;DIJUAL RONGSOK (BPK. PREDI PT. LENTERA 13-11-2025);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;15;22;NULL;NULL;NULL;4;S4S-354567;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2754;2854;NULL;CT18C-87661;NULL;2021;7;ASIAN ISUZU;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp9,000,000;18/02/2026 21:15;NULL;589;25/08/2021;NULL;10;24;7;6;15;22;NULL;NULL;NULL;NULL;-;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:24;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2755;2855;NULL;CT18C-87658;NULL;2021;7;ASIAN ISUZU;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp9,000,000;18/02/2026 21:15;NULL;589;25/08/2021;NULL;10;24;7;6;15;22;NULL;NULL;NULL;NULL;-;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:24;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2756;2856;NULL;CT18C-87657;NULL;2021;7;BRIDON BEKAERT;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp8,000,000;18/02/2026 21:16;NULL;202;NULL;NULL;26;50;376;6;15;22;NULL;NULL;NULL;4;S4S-354160;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2757;2857;NULL;HHKCFMM3HF0000472;NULL;2021;11;POS 5 (20-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351117;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
