unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
3884;3984;"PT. Musashi Auto Part";150;"Plant Karawang";Karawang;TOYOTA;8FBR18;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-06-06;2026-06-05;13000000;"Marketing, Service, Acc"
3801;3901;"PT. Musashi Auto Part";150;"Plant Karawang";Karawang;TOYOTA;8FBR18;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-06-06;2026-06-05;13000000;"Marketing, Service, Acc"
3705;3805;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3706;3806;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3707;3807;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3708;3808;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3709;3809;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3455;3555;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;8FBN30;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;13500000;"Marketing, Service, Acc"
3710;3810;"PT. Musashi Auto Part";150;"Plant Karawang";Karawang;TOYOTA;8FBN25;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2023-12-01;2028-11-30;12000000;"Marketing, Service, Acc"
3529;3629;"PT. Musashi Auto Part";150;"Plant EJIP";Karawang;TOYOTA;FDZN25;DIESEL;;2023;;026/MAPIN/ADD.4/GA/2025;2024-06-01;2027-05-31;13000000;"Marketing, Service, Acc"
