id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at;
;charger;C0011;;;;;;;39;8522360;Baik;Lengkap;YALE 48V 100A Type : 8522360;Unilever Bango Subang;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0011', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0012;;8103;;;;;39;476601;Baik;Lengkap;YALE 48V 100A SN : 476601;Indofood Nutrisi Padalarang - Bandung;IN_USE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, (SELECT id_inventory_unit FROM inventory_unit WHERE no_unit = '8103' LIMIT 1), NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0012', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0013;;;;;;;55;GT1256;Baik;Lengkap;SE 48V 60A SN : GT1256;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0013', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0014;;;;;;;55;0447449 0010 001;Baik;Lengkap;ECOTRON 48V 100A SN : 0447449 0010 001;Asahimas Cikampek;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0014', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0015;;;;;;;55;371791808727005;Baik;Lengkap;BEIJING DELONG PRL 48V 80A SN : 371791808727005;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0015', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0016;;;;;;;39;;Baik;Lengkap;YALE 48V 100A TY : 8522360;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0016', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0017;;;;;;;55;139669;Baik;Lengkap;ENERGIC PLUS 48V 80A SN : 139669;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0017', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0018;;;;;;;48;21082 D984922001;Baik;Lengkap;STILL ECOTON XMP 24V 30A SN : 21082 D984922001;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0018', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0019;;;;;;;39;443650 TY : K43 260C048 447;Baik;Lengkap;YALE 48V 100A SN : 443650 TY : K43 260C048 447;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0019', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0020;;;;;;;55;25850 13401 71;Baik;Lengkap;GS YUASA 48V 400A SN : 25850 13401 71;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0020', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0021;;;;;;;55;;Baik;Lengkap;MICRO POWER 24V 45A;Indokuat;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0021', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0022;;;;;;;55;;Baik;Lengkap;MICRO POWER 24V 45A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0022', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0023;;;;;;;55;837 001 000;Baik;Lengkap;GREEN 48V 100A sn : 837 001 000;Bekaert;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0023', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0024;;;;;;;55;;Baik;Lengkap;GREEN 48V 100A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0024', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0025;;;;;;;55;181387;Baik;Lengkap;RG T 48V 60A SN : 181387;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0025', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0026;;;;;;;39;;Baik;Lengkap;YALE 50 62 100 35A SN :;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0026', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0027;;;;;;;55;AF0590;Baik;Lengkap;SE 48V 100A SN :AF0590;ABC Kogen Bandung;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0027', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0028;;;;;;;55;;Baik;Lengkap;SUMITOMO 48V 100A SN :;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0028', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0029;;;;;;;37;;Baik;Lengkap;STILL ECOTRON 48V 80A;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0029', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0030;;;;;;;55;GP1529;Baik;Lengkap;SE CONTROL 48V 60A SN : GP1529;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0030', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0031;;;;;;;55;349357;Baik;Lengkap;SDC 48V 100A SN : 349357;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0031', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0032;;;;;;;55;349336;Baik;Lengkap;SDC 48V 100A SN : 349336;POOL;AVAILABLE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0032', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
;charger;C0033;;;;;;;55;NX1678;Baik;Lengkap;SE 48V 100A SN : NX1678;Bekaert;SPARE;;;;;"INSERT INTO inventory_attachment (tipe_item, no_item, po_id, id_inventory_unit, attachment_id, sn_attachment, baterai_id, sn_baterai, charger_id, sn_charger, kondisi_fisik, kelengkapan, catatan_fisik, lokasi_penyimpanan, attachment_status, catatan_inventory, created_at) VALUES ('battery', '', 1, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 'Baik', 'Lengkap', 'C0033', '', 'IN_USE', 'Ex-Pusat: charger', NOW());"
