NO CHARGER;CHARGER ;NO UNIT;LOKASI;STATUS;Tgl Dtg;Tgl Pertama Kali Kirim
C522;LITIUM 80V 200A SN : APL21125233041;;POOL (POS 2) ;AVAILABLE;23/03/2022;25/03/2022
C523;STAR 48V 100A SN : KJ3637;3516;Indo Bharat Rayon (IBR) Purwakarta;TERPASANG;23/03/2022;31/03/2023
C524;STAR 48V 100A SN : KJ3635;3512;Indo Bharat Rayon (IBR) Purwakarta;TERPASANG;23/03/2022;24/06/2023
C525;LITIUM 24V 100A MODEL : ESCH-24V100 SN : YNC211126584;2991;Trimitra Delta Silicon 2 Cikarang - Back Up;TERPASANG;11/03/2022;
C526;Smart battery charger SLC-80200 SN : 3751L481001;2931;Supernova JB 6;TERPASANG;;21/12/2021
C527;JUNGHEINRICH 48V 80A SN : 361541606219003;5277;POOL (POS 5) - Bridon Cibitung;TERPASANG;;22/12/2021
C528;LITIUM 24V 100A MODEL : ESCH-24V100 SN : YNC211126577;;Pantos Cibitung;SPARE;11/03/2022;17/06/2022
C529;LITIUM 24V 100A MODEL : ESCH-24V100 SN : YNC220120150;;Arisa Semarang - Spare;SPARE;11/03/2022;08/06/2022
C530;LITIUM 24V 100A MODEL : ESCH-24V100 SN : YNC220120148;;POOL;AVAILABLE;11/03/2022;
C531;INDUSTRIAL BATTERY CHARGING 24V 100A SN : 20220121A002;;POOL;AVAILABLE;11/05/2022;11/05/2022
C532;INDUSTRIAL BATTERY CHARGING 24V 100A SN : 20220305A096;Spare;Arisa Semarang - Spare;TERPASANG;11/05/2022;11/05/2022
C533;INDUSTRIAL BATTERY CHARGING 24V 100A SN : 20220121A011;;POOL;AVAILABLE;11/05/2022;23/05/2022
C534;INDUSTRIAL BATTERY CHARGING 24V 100A SN : 20211222E001;3015;IKPP Serpong;TERPASANG;11/05/2022;23/05/2022
C535;LITIUM 48V 200A SN : APL22035368012;3016;BMJ Karawang ;TERPASANG;11/05/2022;11/05/2022
C536;JUNGHEINRICH D 400V De 48/100P SN : 32100220302209008;3112;Piaggio Indonesia ;TERPASANG;;
C537;STILL ECOTROM XM 80V/150A SN : 636000049561;;POOL;AVAILABLE;24/09/2022;
C538;JUNGHEINRICH 48V 200A SN : 3210022030209001;;POOL;AVAILABLE;08/08/2022;
C539;JUNGHEINRICH 48V 200A SN : 3210022030209013;;Hab Dong Indo Cibitung;SPARE;08/08/2022;14/11/2022
C540;JUNGHEINRICH 48V 200A SN : 3225122030464010;;POOL;AVAILABLE;08/08/2022;
C541;JUNGHEINRICH 48V 200A SN : 3221122030406002;;POOL;AVAILABLE;08/08/2022;
C542;JUNGHEINRICH 48V 200A SN : 3224722030443009;;POOL;AVAILABLE;08/08/2022;
C543;JUNGHEINRICH 48V 200A SN : 3210022030209009;;POOL;AVAILABLE;08/08/2022;
C544;JUNGHEINRICH 48V 200A SN : 3210022030209003;;POOL;AVAILABLE;08/08/2022;28/09/2022
C545;JUNGHEINRICH 48V 200A SN : 3210122030217003;;POOL;AVAILABLE;08/08/2022;
C546;JUNGHEINRICH 48V 200A SN : 3218422030354009;;POOL;AVAILABLE;08/08/2022;31/10/2022
C547;JUNGHEINRICH 48V 200A SN : 3210022030209015;;POOL (POS 2) ;AVAILABLE;08/08/2022;14/11/2022
C548;JUNGHEINRICH 48V 200A SN : 3221122030406007;3114;Ichikoh Indonesia Cibitung / MM;TERPASANG;08/08/2022;20/10/2022
C549;CHARGER SWCH24V50A SN : SW202208080055;;POOL;AVAILABLE;08/08/2022;06/03/2023
C550;LITHIUM 80V 200A SN : TYNC221017112;;POOL (POS 2);AVAILABLE;;
C551;LITHIUM CHARGER 48V 200A SN : APL23045914022;3675;Surya Renggo Karawang;TERPASANG;;07/08/2023
C552;EASYCON PLUS CHARGER 36V 90A SN : 3139219060462002;;POOL (POS 2);AVAILABLE;;11/05/2024
C553;LITHIUM 80V 100A SN : APL23066083005;;POOL;AVAILABLE;;
C554;JUNGHEINRICH 48V 100A SN : 3607623060126006;3792;Kamadjaja (Kaldu sari Nabati Indonesia - Majalengka);TERPASANG;;28/05/2025
C555;LITHIUM 48V 200A SN : APL22065368015;3160;LG Tangerang;TERPASANG;17/10/2022;27/10/2022
C556;LITHIUM 48V 200A SN : APL22065448037;;POOL (POS 2) ;AVAILABLE;17/10/2022;
C557;LITHIUM 48V 200A SN : APL22065448048;3209;Hysis Engineering Tangerang;TERPASANG;17/10/2022;
C558;LITHIUM 48V 200A SN : APL22065368014;;POOL;AVAILABLE;17/10/2022;
C559;JUNGHEINRICH 48V 100A SN : 3268722050307001;;ILC Logos Deltamas ;SPARE;;28/05/2025
C560;ENERPLUSE SN : PM0610;;POOL (POS 2);AVAILABLE;;
C561;LITIUM 24V 100A MODEL : ESCH-24V100 SN : YNC211126578;;LG Cibitung;SPARE;11/03/2022;17/03/2022
C562;LITHIUM 80V 200A SN : TYNC221017123;;POOL (POS 2) ;AVAILABLE;;
C563;ENERPULSE 24V 80A SN : PM0614;;POOL (POS 2) ;AVAILABLE;;
C564;LITHIUM 48V 200A SN : PM0614;2499;POOL (POS 2) - Plan Arisa Demak;TERPASANG;08/08/2022;
C565;ENERPULSE 24V 80A SN : PM0612;2511;POOL (POS 5) - Plan YCH Cikarang Deltamas (FFI Project);TERPASANG;;
C566;ENERPULSE 24V 80A SN : PM0583;2493;POOL (POS 5) - Plan YCH Cikarang Deltamas (FFI Project);TERPASANG;;
C567;ENERPULSE 24V 80A SN : PM0584;2510;POOL (POS 5) - Plan YCH Cikarang Deltamas (FFI Project);TERPASANG;;
C568;STILL ECOTRON XM 80V 150A SN : 636000049560;3252;Oji Sinarmas Deltamas;TERPASANG;17/11/2022;
C569;LI SWCH24V/50A LI SN : SW20220808043;;POOL;AVAILABLE;17/10/2022;08/12/2022
C570;LITIUM 24V 100A SN : YNC221027024;;Reckit Ciluengsi;SPARE;02/12/2022;08/12/2022
C571;LITIUM 80V 200A SN : YNC221101143;3269;Intilog Cianjur;TERPASANG;02/12/2022;06/09/2023
C572;LI SWCH24V/50A LI SN : SW20220808049;5008;POOL (POS 2);TERPASANG;;14/03/2025
C573;HANGCHAGROUP SPC-24 V 100A SN : 7137P2410001;3292;POOL;TERPASANG;02/01/2023;
C574;HANGCHAGROUP SPC-24 V 100A SN : 7353P2410001;;POOL;AVAILABLE;02/01/2023;10/07/2024
C575;HANGCHAGROUP SPC-24 V 100A SN : 7353P2410002;;POOL (POS 2) ;AVAILABLE;02/01/2023;08/05/2023
C576;HANGCHAGROUP SPC-24 V 100A SN : 7137P2410004;3295;Indo Barat Rayon (IBR) Purwakarta;TERPASANG;02/01/2023;30/05/2023
C577;SMART BATTERY CHARGER 48V 100A SN : 7137L4810001;3296;Kaldu Sari Nabati Majalengka;TERPASANG;02/01/2023;25/05/2023
C578;LITHIUM CHARGER BATTERY 80V 200AH SN : YNC221101135;;Bekaert;SPARE;;24/01/2023
C579;LITHIUM CHARGER 80V 200A SN : APL22105534526;;POOL;AVAILABLE;;25/01/2023
C580;LITHIUM CHARGER 80V 200A SN : APL22115701078;3311;Jakarta Sereal Medan;TERPASANG;;14/12/2023
C581;LITHIUM CHARGER 80V 200A SN : APL22115701070;3704;Indo Bharat Rayon (IBR) Purwakarta;TERPASANG;;19/01/2023
C582;LITHIUM CHARGER 80V 200A SN : APL22115701064;3713;Tirta Alam Segar Cibitung;TERPASANG;;19/01/2023
C583;LITHIUM CHARGER 80V 200A SN : APL22115701065;;Jakarta Sereal;SPARE;;
C584;LITHIUM CHARGER 80V 200A SN : APL22115701069;3298;Jakarta Sereal Medan;TERPASANG;;13/12/2023
C585;LITHIUM CHARGER 80V 200A SN : APL22115701068;5161;South Pacific Viscose (SPV) Purwakarta;TERPASANG;;19/01/2023
C586;LITHIUM CHARGER 80V 200A SN : APL22115701042;;POOL (POS 2) ;AVAILABLE;;19/01/2023
C587;LITHIUM CHARGER 80V 200A SN : APL22115701027;3706;DHL Supply Chain (MUF 6) Cikarang;TERPASANG;;27/02/2023
C588;LITHIUM CHARGER 80V 200A SN : APL22115701016;3482;LGE Indonesia R & D Cibitung / MM;TERPASANG;;31/01/2023
C589;LITHIUM CHARGER 80V 200A SN : APL22115701022;3305;Oki Palembang;TERPASANG;;03/03/2023
C590;LITHIUM CHARGER 80V 200A SN : APL22115701010;3306;Oki Palembang;TERPASANG;;03/03/2023
C591;LITHIUM CHARGER 80V 200A SN : APL22115701095;3307;Oki Palembang;TERPASANG;;03/03/2023
C592;LITHIUM CHARGER 80V 200A SN : APL22115701011;;POOL ;AVAILABLE;;03/03/2023
C593;LITHIUM CHARGER 24V 100A SN : YNC221018394;3259;Reckit Ciluengsi;TERPASANG;;18/01/2023
C594;LITHIUM CHARGER 24V 100A SN : YNC221018393;;POOL (POS 2) ;AVAILABLE;;18/01/2023
C595;LITHIUM CHARGER 24V 100A SN : YNC221018401;3256;Reckit Ciluengsi;TERPASANG;;18/01/2023
C596;LITHIUM CHARGER 24V 100A SN : YNC221027006;;ILC Sampoerna - Karawang Timur (Surya Cipta);SPARE;;18/01/2023
C597;LITHIUM CHARGER 24V 100A SN : YNC221018395;3262;Reckit Ciluengsi;TERPASANG;;18/01/2023
C598;LITHIUM CHARGER 24V 100A SN : YNC221018400;3261;Reckit Ciluengsi;TERPASANG;;18/01/2023
C599;LITHIUM CHARGER 24V 100A SN : YNC221025780;;Sinotrans Cibitung / MM;SPARE;;18/01/2023
C600;LITHIUM CHARGER 24V 100A SN : YNC221025761;3258;Reckit Ciluengsi;TERPASANG;;18/01/2023
C601;LITHIUM CHARGER 24V 100A SN : YNC221027005;2990;Ultra Jaya Milk Padalarang Spare;TERPASANG;;18/01/2023
C602;LITHIUM CHARGER 80V 200A SN : YNC221101142;;Intilog Cikampek;SPARE;;21/02/2023
C603;JUNGHEINRICH 48V 100A SN : 3348722080243002;;POOL;AVAILABLE;05/04/2023;13/04/2023
C604;JUNGHEINRICH 48V 100A SN : 3316622070199006;;POOL;AVAILABLE;05/04/2023;13/04/2023
C605;JUNGHEINRICH 48V 100A SN : 3325922070307002;;POOL;AVAILABLE;05/04/2023;13/04/2023
C606;LITHIUM CHARGER 48V 200A SN : APL23035823030;;POOL;AVAILABLE;12/04/2023;14/04/2023
C607;LITHIUM CHARGER 80V 200A SN : APL23035766026;3487;Kaldu Sari Nabati Indonesia - Cicalengka;TERPASANG;13/04/2023;04/05/2023
C608;LITHIUM CHARGER 80V 200A SN : APL23035766021;3303;Surya Renggo Surabaya;TERPASANG;13/04/2023;04/05/2023
C609;LI SWCH24V50A 24V 50A SN : SW20230313195;;POOL;AVAILABLE;13/04/2023;04/05/2023
C610;LI SWCH24V50A 24V 50A SN : SW20230313198;3431;POOL;TERPASANG;13/04/2023;04/05/2023
C611;LI SWCH24V50A 24V 50A SN : SW20230313141;;Kaldu Sari Nabati Majalengka;SPARE;13/04/2023;04/05/2023
C612;LI SWCH24V50A 24V 50A SN : SW20230317022;;POOL (POS 2) ;AVAILABLE;13/04/2023;05/06/2023
C613;LI SWCH24V50A 24V 50A SN : SW20230313113;3443;Sinotrans Cibitung;TERPASANG;13/04/2023;05/06/2023
C614;LI SWCH24V50A 24V 50A SN : SW20230317023;3433;Kaldu Sari Nabati Majalengka;TERPASANG;13/04/2023;05/06/2023
C615;LI SWCH24V50A 24V 50A SN : SW20230313109;;POOL (POS 2) ;AVAILABLE;13/04/2023;05/06/2023
C616;LI SWCH24V50A 24V 50A SN : SW20230313196;;POOL (POS 5);AVAILABLE;13/04/2023;05/06/2023
C617;JUNGHEINRICH 48V 100A SN : 3018219030488002;1618;Kaldu Sari Nabati Majalengka - spare;TERPASANG;;22/06/2024
C618;LI SWCH24V50A 24V 50A SN : SW20220808046;;Nabati Majalengka;SPARE;;03/07/2023
C619;LI SWCH24V50A 24V 50A SN : SW20220808047;;POOL;AVAILABLE;;03/07/2023
C620;LI SWCH24V50A 24V 50A SN : SW20220808014;;POOL (POS 2) ;AVAILABLE;;10/07/2023
C621;LI 80V 200A SN : APL23055943101;5379;Hab Dong Indo Cibitung;TERPASANG;12/07/2023;13/07/2023
C622;LI 24V 50A SN : SW20230313147;;POOL;AVAILABLE;;14/07/2023
C623;LITHIUM CHARGER 80V 200A SN : APL23055943105;3660;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;;20/07/2023
C624;LITHIUM CHARGER 150V 100A SN : APL22065466073;3683;Indo Bharat Rayon (IBR) Purwakarta;TERPASANG;;24/07/2023
C625;LITHIUM CHARGER 80V 100A SN : APL23055831011;3676;Sugity Karawang;TERPASANG;;24/07/2023
C626;LITHIUM CHARGER 80V 100A SN : APL23055831015;3677;Sugity Karawang;TERPASANG;;24/07/2023
C627;LITHIUM CHARGER 80V 100A SN : APL23055831014;3678;Sugity Karawang;TERPASANG;;24/07/2023
C628;LITHIUM CHARGER 150V 100A SN : APL22075507352;;POOL;AVAILABLE;;
C629;LITHIUM CHARGER 150V 100A SN : APL22065466078;3684;Indo Bharat Rayon Purwakarta ;TERPASANG;;24/07/2023
C630;LITHIUM CHARGER 150V 100A SN : APL22075507351;;POOL;AVAILABLE;;
C631;LITHIUM CHARGER 150V 100A SN : APL22075507356;3679;Indo Bharat Rayon Purwakarta ;TERPASANG;;21/07/2023
C632;LITHIUM CHARGER 150V 100A SN : APL22075507379;3682;Indo Bharat Rayon Purwakarta ;TERPASANG;;21/07/2023
C633;LI 24V 50A SN : SW20220808025;;POOL;AVAILABLE;;
C634;LI 24V 50A SN : SW20230317026;;POOL (POS 5);AVAILABLE;;
C635;LI 24V 50A SN : SW20230317028;;POOL (POS 2) ;AVAILABLE;;
C636;LI 24V 50A SN : SW20230317015;;POOL (POS 2);AVAILABLE;;
C637;LI 24V 50A SN : SW20230313205;;POOL (POS 2);AVAILABLE;;
C638;LI 24V 50A SN : SW20230317012;;POOL ;AVAILABLE;;
C639;LI 24V 50A SN : SW20230724051;;POOL (POS 2) ;AVAILABLE;;
C640;LI 24V 50A SN : SW20230313207;5003;Kaldu Sari Nabati Majalengka - spare;TERPASANG;;
C641;LI 24V 50A SN : SW20230313118 ;;POOL (POS 2);AVAILABLE;;
C642;LI 24V 50A SN : SW20230313201;;POOL (POS 2) ;AVAILABLE;;
C643;LI 24V 50A SN : SW20230224051;;Nabati Majalengka;SPARE;;
C644;LI 24V 50A SN : SW20230318193;;Kaldu Sari Nabati Majalengka;SPARE;;
C645;LI 24V 50A SN : SW20230224054;;POOL (POS 2);AVAILABLE;;15/05/2025
C646;LI 24V 50A SN : SW20230313210;;POOL (POS 2);AVAILABLE;;
C647;LI 24V 50A SN : SW20230317025;;POOL (POS 2);AVAILABLE;;
C648;LI 24V 50A SN : SW20230317014;;Nabati Majalengka;SPARE;;
C649;LI 24V 50A SN : SW20230317024;;POOL (POS 2);AVAILABLE;;
C650;LI 24V 50A SN : SW20230317018;;POOL (POS 2);AVAILABLE;;
C651;LI 24V 50A SN : SW20230224056;;POOL (POS 2);AVAILABLE;;
C652;LI 24V 50A SN : SW20230217021;;Heinz ABC Karawang;SPARE;;
C653;LI 24V 50A SN : SW20230224055;;Nabati Majalengka;SPARE;;
C654;LI 24V 50A SN : SW20230317023;;POOL (POS 2);AVAILABLE;;
C655;LI 24V 50A SN : SW20230313192;3450;Nabati Majalengka;TERPASANG;;
C656;LI 25.6V 150A SN : 06PPB3252AOYAAC83C6Y1507;;POOL (POS 2) ;AVAILABLE;;
C657;LI 24V 50A SN : ;3452;Nabati Majalengka;TERPASANG;;
C658;LI 24V 50A SN : SW20230224059;3453;Nabati Majalengka;TERPASANG;;
C659;LI 24V 50A SN : SW20230116045;;POOL (POS 2);AVAILABLE;;
C660;LI 24V 50A SN : SW20230313107;;POOL (POS 5);AVAILABLE;;
C661;LI 24V 50A SN : SW20230317016;;POOL (POS 2);AVAILABLE;;
C662;LI 24V 50A SN : SW20230317010;;Nabati Majalengka;SPARE;;
C663;LI 24V 50A SN : SW20230313196;3458;Nabati Majalengka;TERPASANG;;
C664;LI 24V 50A SN : ;;POOL (POS 2);AVAILABLE;;
C665;LI 24V 50A SN : SW202303131032;3460;Nabati Majalengka;TERPASANG;;
C666;LI 24V 50A SN : ;;Nabati Majalengka;SPARE;;
C667;LI 24V 50A SN : ;3462;POOL (POS 2);TERPASANG;;
C668;LI 24V 50A SN : ;3463;Nabati Majalengka;TERPASANG;;
C669;LI 24V 50A SN : SW20230116044;3465;POOL (POS 2);TERPASANG;;
C670;LI 24V 50A SN : SW20230313200;3469;POOL (POS 2);TERPASANG;;16/05/2024
C671;LI 24V 50A SN : SW20230224058;;Nabati Majalengka;SPARE;;
C672;LI 24V 50A SN : SW20230224057;;POOL (POS 2) - Plan Nabati Majalengka;AVAILABLE;;
C673;LI 24V 50A SN : SW20230317027;3472;Kamadjaja (Kaldu sari Nabati Indonesia - Majalengka);TERPASANG;;
C674;LI 24V 50A SN : ;3473;Nabati Majalengka;TERPASANG;;
C675;LI 24V 50A SN : ;3478;POOL (POS 2);TERPASANG;;
C676;LI 24V 50A SN : ;3479;Nabati Majalengka;TERPASANG;;
C677;LI 24V 50A SN : ;3480;Nabati Majalengka;TERPASANG;;
C678;LITHIUM 48V 200A SN : APL23045914024;3674;Surya Renggo Karawang;TERPASANG;;25/07/2023
C679;LITHIUM CHARGER 80V 200A SN : APL23076127024;3300;Nissin Jaya Cibitung / MM;TERPASANG;10/08/2023;11/08/2023
C680;LITHIUM CHARGER 80V 200A SN : APL23075946027;3695;POOL (POS 2);TERPASANG;10/08/2023;11/08/2023
C681;LITHIUM CHARGER 80V 200A SN : APL23076127006;3696;Surya Renggo Surabaya;TERPASANG;10/08/2023;21/08/2023
C682;LITHIUM CHARGER 80V 200A SN : APL23076127013;3697;Surya Renggo Tangerang;TERPASANG;10/08/2023;19/10/2023
C683;LITHIUM CHARGER 80V 200A SN : APL23075946019;3698;Surya Renggo Tangerang;TERPASANG;10/08/2023;19/10/2023
C684;LITHIUM CHARGER 80V 200A SN : APL23076127012;3699;Surya Renggo Karawang;TERPASANG;10/08/2023;22/08/2023
C685;LITHIUM CHARGER 80V 200A SN : APL23075946017;3700;Surya Renggo Karawang;TERPASANG;10/08/2023;21/08/2023
C686;LITHIUM CHARGER 80V 200A SN : APL23076127016;3701;Surya Renggo Karawang;TERPASANG;10/08/2023;21/08/2023
C687;LITHIUM CHARGER 80V 200A SN : APL23076127018;5167;Semen Jawa Sukabumi;TERPASANG;10/08/2023;16/08/2023
C688;LITHIUM CHARGER 80V 200A SN : APL23076127004;3703;Sinotrans Cibitung / MM;TERPASANG;10/08/2023;30/09/2023
C689;LITHIUM CHARGER 80V 200A SN : APL23076127015;3694;Indolakto Fatectory Citeurep;TERPASANG;10/08/2023;30/09/2023
C690;LITHIUM CHARGER 80V 200A SN : APL23076127009;;UPM Raflatac Indonesia (Dijual 14.9.23);DIJUAL;10/08/2023;14/09/2023
C691;LITHIUM CHARGER 80V 200A SN : APL23076127007;3709;Tirta Alam Segar Cibitung;TERPASANG;10/08/2023;20/12/2023
C692;LITHIUM CHARGER 80V 200A SN : APL23076127010;5728;POOL (POS 2) - Plan LDC Upa Karawang;TERPASANG;10/08/2023;29/09/2023
C693;LITHIUM CHARGER 80V 200A SN : APL23066015499;3711;Surya Renggo Tangerang;TERPASANG;10/08/2023;02/03/2024
C694;LITHIUM CHARGER 80V 200A SN : APL23066015512;3301;POOL (POS 5);TERPASANG;10/08/2023;25/09/2024
C695;LITHIUM CHARGER 80V 200A SN : APL23066067072;3717;Supernova Cibitung / MM;TERPASANG;10/08/2023;21/12/2023
C696;LITHIUM CHARGER 80V 200A SN : APL23075946015;;POOL;AVAILABLE;10/08/2023;27/11/2023
C697;LITHIUM CHARGER 80V 200A SN : APL23055943056;3715;South Pacific Viscose Purwakarta;TERPASANG;10/08/2023;22/12/2023
C698;LITHIUM CHARGER 80V 200A SN : APL23055943092;3708;Surya Renggo Tangerang;TERPASANG;10/08/2023;02/03/2024
C699;LITHIUM CHARGER 80V 200A SN : APL23055943051;3710;Cipta Niaga Semesta / Mayora Kediri;TERPASANG;10/08/2023;01/12/2023
C700;LITHIUM CHARGER 80V 200A SN : APL23055943090;3304;South Pacific Viscose Purwakarta;TERPASANG;10/08/2023;24/11/2023
C701;LITHIUM CHARGER 80V 200A SN : APL23076127018;;My Pack Cibitung;SPARE;10/08/2023;01/12/2023
C702;LITHIUM CHARGER 80V 200A SN : APL23076127004;;PT. AT Engineering Medan (Dijual 6.12.23);DIJUAL;10/08/2023;
C703;JUNGHEINRICH 48V 100A SN : 3018219030488001;3123;Ichikoh Indonesia Cibitung / MM;TERPASANG;;16/09/2023
