"id";"role_id";"permission_id";"granted";"assigned_by";"assigned_at"
"1";"1";"1";"1";NULL;"2025-12-12 10:18:41"
"2";"1";"2";"1";NULL;"2025-12-12 10:18:41"
"3";"1";"3";"1";NULL;"2025-12-12 10:18:41"
"4";"1";"4";"1";NULL;"2025-12-12 10:18:41"
"5";"1";"5";"1";NULL;"2025-12-12 10:18:41"
"6";"1";"6";"1";NULL;"2025-12-12 10:18:41"
"7";"1";"7";"1";NULL;"2025-12-12 10:18:41"
"8";"1";"8";"1";NULL;"2025-12-12 10:18:41"
"9";"1";"9";"1";NULL;"2025-12-12 10:18:41"
"10";"1";"10";"1";NULL;"2025-12-12 10:18:41"
"11";"1";"11";"1";NULL;"2025-12-12 10:18:41"
"12";"1";"12";"1";NULL;"2025-12-12 10:18:41"
"13";"1";"13";"1";NULL;"2025-12-12 10:18:41"
"14";"1";"14";"1";NULL;"2025-12-12 10:18:41"
"15";"1";"15";"1";NULL;"2025-12-12 10:18:41"
"16";"1";"16";"1";NULL;"2025-12-12 10:18:41"
"17";"1";"17";"1";NULL;"2025-12-12 10:18:41"
"18";"1";"18";"1";NULL;"2025-12-12 10:18:41"
"19";"1";"19";"1";NULL;"2025-12-12 10:18:41"
"20";"1";"20";"1";NULL;"2025-12-12 10:18:41"
"21";"1";"21";"1";NULL;"2025-12-12 10:18:41"
"22";"1";"22";"1";NULL;"2025-12-12 10:18:42"
"23";"1";"23";"1";NULL;"2025-12-12 10:18:42"
"24";"1";"24";"1";NULL;"2025-12-12 10:18:42"
"25";"1";"25";"1";NULL;"2025-12-12 10:18:42"
"26";"1";"26";"1";NULL;"2025-12-12 10:18:42"
"27";"1";"27";"1";NULL;"2025-12-12 10:18:42"
"28";"1";"28";"1";NULL;"2025-12-12 10:18:42"
"29";"1";"29";"1";NULL;"2025-12-12 10:18:42"
"30";"1";"30";"1";NULL;"2025-12-12 10:18:42"
"31";"1";"31";"1";NULL;"2025-12-12 10:18:42"
"32";"1";"32";"1";NULL;"2025-12-12 10:18:42"
"33";"1";"33";"1";NULL;"2025-12-12 10:18:42"
"34";"1";"34";"1";NULL;"2025-12-12 10:18:42"
"35";"1";"35";"1";NULL;"2025-12-12 10:18:42"
"36";"1";"36";"1";NULL;"2025-12-12 10:18:42"
"37";"1";"37";"1";NULL;"2025-12-12 10:18:42"
"38";"1";"38";"1";NULL;"2025-12-12 10:18:42"
"39";"1";"39";"1";NULL;"2025-12-12 10:18:42"
"40";"1";"40";"1";NULL;"2025-12-12 10:18:42"
"41";"1";"41";"1";NULL;"2025-12-12 10:18:42"
"42";"1";"42";"1";NULL;"2025-12-12 10:18:42"
"43";"1";"43";"1";NULL;"2025-12-12 10:18:42"
"44";"1";"44";"1";NULL;"2025-12-12 10:18:42"
"45";"1";"45";"1";NULL;"2025-12-12 10:18:42"
"46";"1";"46";"1";NULL;"2025-12-12 10:18:42"
"47";"1";"47";"1";NULL;"2025-12-12 10:18:42"
"48";"1";"48";"1";NULL;"2025-12-12 10:18:42"
"49";"1";"49";"1";NULL;"2025-12-12 10:18:42"
"50";"1";"50";"1";NULL;"2025-12-12 10:18:42"
"51";"1";"51";"1";NULL;"2025-12-12 10:18:42"
"52";"1";"52";"1";NULL;"2025-12-12 10:18:42"
"53";"1";"53";"1";NULL;"2025-12-12 10:18:42"
"54";"1";"54";"1";NULL;"2025-12-12 10:18:42"
"55";"1";"55";"1";NULL;"2025-12-12 10:18:42"
"56";"1";"56";"1";NULL;"2025-12-12 10:18:42"
"57";"1";"57";"1";NULL;"2025-12-12 10:18:42"
"58";"1";"58";"1";NULL;"2025-12-12 10:18:42"
"59";"1";"59";"1";NULL;"2025-12-12 10:18:42"
"60";"1";"60";"1";NULL;"2025-12-12 10:18:42"
"61";"1";"61";"1";NULL;"2025-12-12 10:18:42"
"62";"1";"62";"1";NULL;"2025-12-12 10:18:42"
"63";"1";"63";"1";NULL;"2025-12-12 10:18:42"
"64";"1";"64";"1";NULL;"2025-12-12 10:18:42"
"65";"1";"65";"1";NULL;"2025-12-12 10:18:42"
"66";"1";"66";"1";NULL;"2025-12-12 10:18:42"
"67";"1";"67";"1";NULL;"2025-12-12 10:18:42"
"68";"1";"68";"1";NULL;"2025-12-12 10:18:42"
"69";"1";"69";"1";NULL;"2025-12-12 10:18:42"
"70";"1";"70";"1";NULL;"2025-12-12 10:18:42"
"71";"1";"71";"1";NULL;"2025-12-12 10:18:42"
"72";"1";"72";"1";NULL;"2025-12-12 10:18:42"
"73";"1";"73";"1";NULL;"2025-12-12 10:18:42"
"74";"1";"74";"1";NULL;"2025-12-12 10:18:42"
"75";"1";"75";"1";NULL;"2025-12-12 10:18:42"
"76";"1";"76";"1";NULL;"2025-12-12 10:18:42"
"77";"1";"77";"1";NULL;"2025-12-12 10:18:42"
"78";"1";"78";"1";NULL;"2025-12-12 10:18:42"
"79";"1";"79";"1";NULL;"2025-12-12 10:18:42"
"80";"1";"80";"1";NULL;"2025-12-12 10:18:42"
"81";"1";"81";"1";NULL;"2025-12-12 10:18:42"
"82";"1";"82";"1";NULL;"2025-12-12 10:18:42"
"83";"1";"83";"1";NULL;"2025-12-12 10:18:42"
"84";"1";"84";"1";NULL;"2025-12-12 10:18:42"
"85";"1";"85";"1";NULL;"2025-12-12 10:18:42"
"86";"1";"86";"1";NULL;"2025-12-12 10:18:42"
"87";"1";"87";"1";NULL;"2025-12-12 10:18:42"
"88";"1";"88";"1";NULL;"2025-12-12 10:18:42"
"89";"1";"89";"1";NULL;"2025-12-12 10:18:42"
"90";"1";"90";"1";NULL;"2025-12-12 10:18:42"
"91";"1";"91";"1";NULL;"2025-12-12 10:18:42"
"92";"1";"92";"1";NULL;"2025-12-12 10:18:42"
"93";"1";"93";"1";NULL;"2025-12-12 10:18:42"
"94";"1";"94";"1";NULL;"2025-12-12 10:18:42"
"95";"1";"95";"1";NULL;"2025-12-12 10:18:42"
"96";"1";"96";"1";NULL;"2025-12-12 10:18:42"
"97";"1";"97";"1";NULL;"2025-12-12 10:18:42"
"98";"1";"98";"1";NULL;"2025-12-12 10:18:42"
"99";"1";"99";"1";NULL;"2025-12-12 10:18:42"
"100";"1";"100";"1";NULL;"2025-12-12 10:18:42"
"101";"1";"101";"1";NULL;"2025-12-12 10:18:42"
"102";"1";"102";"1";NULL;"2025-12-12 10:18:42"
"103";"1";"103";"1";NULL;"2025-12-12 10:18:42"
"104";"1";"104";"1";NULL;"2025-12-12 10:18:42"
"105";"1";"105";"1";NULL;"2025-12-12 10:18:42"
"106";"1";"106";"1";NULL;"2025-12-12 10:18:42"
"107";"1";"107";"1";NULL;"2025-12-12 10:18:42"
"108";"1";"108";"1";NULL;"2025-12-12 10:18:42"
"109";"1";"109";"1";NULL;"2025-12-12 10:18:42"
"110";"1";"110";"1";NULL;"2025-12-12 10:18:42"
"111";"1";"111";"1";NULL;"2025-12-12 10:18:42"
"112";"1";"112";"1";NULL;"2025-12-12 10:18:42"
"113";"1";"113";"1";NULL;"2025-12-12 10:18:42"
"114";"1";"114";"1";NULL;"2025-12-12 10:18:42"
"115";"1";"115";"1";NULL;"2025-12-12 10:18:42"
"525";"1";"116";"1";NULL;"2025-12-12 15:32:38"
"526";"1";"117";"1";NULL;"2025-12-12 15:32:38"
"527";"1";"118";"1";NULL;"2026-01-27 08:49:33"
