ID_Unit;SN_Unit;Status_Tagihan_ACC;Status_Kontrak_MKT;Aktif_Service_SRV;Lokasi_Gudang_INV;Masalah;Rekomendasi_Validasi
5611;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5612;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5613;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5186;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5162;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5539;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5664;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5600;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5601;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5649;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5660;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5661;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5662;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5671;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5672;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5978;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5997;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5892;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
