NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
118;05030DS7412;CPD30-GC6LI-S;FORKLIFT CB;ELECTRIC;2025;HELI G2 LITHIUM FORKLIFT, LISHEN-80V280Ah, 4CV, FORK 1220MM, PNEUMATIC FRONT TIRE, SOLID REAR TIRE, ACCESSORIES ROTARY LAMP, USB CHARGER, BACKBUZZER, LED, SPION, SAFETYBELT, FFL;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28X9-15;200/50-10;4
119;05030DS7411;CPD30-GC6LI-S;FORKLIFT CB;ELECTRIC;2025;HELI G2 LITHIUM FORKLIFT, LISHEN-80V280Ah, 4CV, FORK 1220MM, PNEUMATIC FRONT TIRE, SOLID REAR TIRE, ACCESSORIES ROTARY LAMP, USB CHARGER, BACKBUZZER, LED, SPION, SAFETYBELT, FFL;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28X9-15;200/50-10;4
120;05030DS7410;CPD30-GC6LI-S;FORKLIFT CB;ELECTRIC;2025;HELI G2 LITHIUM FORKLIFT, LISHEN-80V280Ah, 4CV, FORK 1220MM, PNEUMATIC FRONT TIRE, SOLID REAR TIRE, ACCESSORIES ROTARY LAMP, USB CHARGER, BACKBUZZER, LED, SPION, SAFETYBELT, FFL;-;-;3TON;ELECTRIC;ZSM470;4700MM;-;PNEUMATIC;28X9-15;200/50-10;4
121;08020JNN649;CQDM20J-LI;MINI REACH TRUCK STACKER;ELECTRIC;2025;HELI SMALL REACH STACKER LITHIUM BATTERY WITH CHARGER, M300 MAST, 3CV, FORK 1070MM (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;M300;3000MM;-;LOAD WHEEL;-;-;3
122;080207DD892;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2025;PALLET MOVER CABIN LONG FORK P 2400MM/L 685MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
123;F5032966;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2025;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
124;F5032004;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2025;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
125;F5032003;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2025;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
126;F5032005;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2025;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
127;185F-04972;NRS18CB1;REACH TRUCK;ELECTRIC;2026;MAST TRIPLEX STAGE 7000MM, FORK 1070MM, 4CV, ACCESSORIES BACKBUZZER, LAMPU SOROT, SPION.;-;-;1,8TON;ELECTRIC;R18M700MS (3 STAGE);7000MM;-;CASTER WHEEL;-;-;4
