NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
159;010353S1051;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-423089;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
160;010353S1052;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-422890;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
161;010353S1053;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-422867;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
162;010353S1054;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-422868;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
163;010353S1055;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-423080;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
164;010353S1059;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL FORKLIFT MITSUBISHI S4S ZSM450 MAST PHENEMITIC TIRE FORK 1070, ROTARY BEKEN, SPION, LED, BACKBUZZER, SAFETY BELT, 4 SILINDER;MITSUBISHI;S4S-423108;3,5TON;DIESEL;ZSM450;4500MM;-;PNEUMATIC;28X9-15/8.15-15;6.50-10;4
165;05025DT8187;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT ZSM600,MAST 3CV,1070MM,80V280AH LISHEN BATTERY80V200A CHARGER, ROTARY, SAFETY BELT, BACKBUZZER, LED, SPION, USB CHARGER;-;-;2,5TON;ELECTRIC;ZSM600;6000MM;-;PNEUMATIC;7.00-12;18X7-8;3
166;05025DT8188;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT ZSM600,MAST 3CV,1070MM,80V280AH LISHEN BATTERY80V200A CHARGER, ROTARY, SAFETY BELT, BACKBUZZER, LED, SPION, USB CHARGER;-;-;2,5TON;ELECTRIC;ZSM600;6000MM;-;PNEUMATIC;7.00-12;18X7-8;3
167;05025DT8343;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM MITSHUBISHI S6S METIC TRANMISISION M500 SOLID TYRE 1220MM FORK, ROTARY, USB CHARGER, THREEWAY, SPION, LED, SAFETY BELT, BACKBUZZER;-;-;2,5TON;ELECTRIC;M500;5000MM;-;PNEUMATIC;7.00-12;18X7-8;3
168;05025DT8344;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM MITSHUBISHI S6S METIC TRANMISISION M500 SOLID TYRE 1220MM FORK, ROTARY, USB CHARGER, THREEWAY, SPION, LED, SAFETY BELT, BACKBUZZER;-;-;2,5TON;ELECTRIC;M500;5000MM;-;PNEUMATIC;7.00-12;18X7-8;3
169;05025DT8345;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM MITSHUBISHI S6S METIC TRANMISISION M500 SOLID TYRE 1220MM FORK, ROTARY, USB CHARGER, THREEWAY, SPION, LED, SAFETY BELT, BACKBUZZER;-;-;2,5TON;ELECTRIC;M500;5000MM;-;PNEUMATIC;7.00-12;18X7-8;3
170;05025DT8346;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM MITSHUBISHI S6S METIC TRANMISISION M500 SOLID TYRE 1220MM FORK, ROTARY, USB CHARGER, THREEWAY, SPION, LED, SAFETY BELT, BACKBUZZER;-;-;2,5TON;ELECTRIC;M500;5000MM;-;PNEUMATIC;7.00-12;18X7-8;3
171;05025DT8347;CPD25-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM MITSHUBISHI S6S METIC TRANMISISION M500 SOLID TYRE 1220MM FORK, ROTARY, USB CHARGER, THREEWAY, SPION, LED, SAFETY BELT, BACKBUZZER;-;-;2,5TON;ELECTRIC;M500;5000MM;-;PNEUMATIC;7.00-12;18X7-8;3
172;05035DT8139;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT ZSM450 PHENEMITIC TIRE FORK 1220MM, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT, USB CHARGER;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
